Investment Name, Dates1, Prices1, Dates2, Prices2, Dates3, Prices3
"Vanguard FTSE 100 Index Unit Trust A GBP Income, GB00BD3RZ251:GBP historical prices","June 05, 2020",98.84,"June 04, 2020",96.67,"June 03, 2020",97.29
"Vanguard FTSE 100 UCITS ETF, VUKE:LSE:GBP historical prices","June 08, 2020",28.4,"June 05, 2020",28.19,"June 04, 2020",28.1
"Vanguard FTSE U.K. Equity Income Index Inc, GB00B5B74684:GBP historical prices","June 05, 2020",142.4,"June 04, 2020",138.07,"June 03, 2020",139.68
"Vanguard S&P 500 UCITS ETF, VUSA:LSE:GBP historical prices","June 08, 2020",47.83,"June 05, 2020",47.13,"June 04, 2020",47.16
"Vanguard US Equity Index Inc, GB00B5B74S01:GBP historical prices","June 05, 2020",467.63,"June 04, 2020",459.83,"June 03, 2020",461.69
"Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF USD Distributing, VAPX:LSE:GBP historical prices","June 08, 2020",18.83,"June 05, 2020",18.5,"June 04, 2020",18.29
"Vanguard Global Minimum Volatility UCITS ETF Shares USD Acc, VMVL:LSE:GBP historical prices","June 08, 2020",26.08,"June 05, 2020",26.15,"June 04, 2020",26.26
"Vanguard FTSE Emerging Markets UCITS ETF USD Distributing, VFEM:LSE:GBP historical prices","June 08, 2020",43.29,"June 05, 2020",43.01,"June 04, 2020",43.07
"Vanguard Investments Funds ICVC-Vanguard U.K. Long Duration Gilt Index Fund A GBP Gross Income, GB00B44DQC62:GBP historical prices","June 05, 2020",199.24,"June 04, 2020",201.67,"June 03, 2020",202.63
"Vanguard U.K. Investment Grade Bond Index Fund GBP Income, IE00B1S74W91:GBP historical prices","June 05, 2020",61.02,"June 04, 2020",61.3,"June 03, 2020",60.86
"Vanguard USD Treasury Bond UCITS ETF, VUTY:LSE:GBP historical prices","June 08, 2020",20.96,"June 05, 2020",20.99,"June 04, 2020",21.43
"Vanguard USD Corporate 1-3 year Bond UCITS ETF, VUSC:LSE:GBP historical prices","June 08, 2020",40.91,"June 05, 2020",40.95,"June 04, 2020",41.48
"Vanguard USD Corporate Bond UCITS ETF, VUCP:LSE:GBP historical prices","June 08, 2020",44.32,"June 05, 2020",44.59,"June 04, 2020",45.09
